game_id|game_name|game_info|game_size
688%20Attack%20Sub.zip|688 Attack Sub|611.18 KB - Simulation/1p - (c)1991 Sega|625851
ATP%20Tour%20Championship%20Tennis.zip|ATP Tour Championship Tennis|1022.24 KB - Sports/4p - (c)1994 Sega|1046772
Aaahh%21%21%21%20Real%20Monsters.zip|Aaahh!!! Real Monsters|934.59 KB - Platform/1p - (c)1995 Viacom New Media|957023
Addams%20Family%2C%20The.zip|Addams Family, The|601.08 KB|615504
Adventures%20of%20Batman%20%26%20Robin%2C%20The.zip|Adventures of Batman & Robin, The|1.14 MB|1197009
Aerobiz.zip|Aerobiz|413.62 KB - Simulation/4p - (c)1992 Koei|423552
Aerobiz%20Supersonic.zip|Aerobiz Supersonic|465.89 KB - Simulation/4p - (c)1994 Koei|477072
Aero%20the%20Acro-Bat.zip|Aero the Acro-Bat|509.79 KB - Platform/1p - (c)1993 Sunsoft|522028
Aero%20the%20Acro-Bat%202.zip|Aero the Acro-Bat 2|1.08 MB - Platform/1p - (c)1994 Sunsoft|1133904
After%20Burner%20II.zip|After Burner II|241.34 KB - Flight simulator/1p - (c)1990 Sega|247131
Air%20Buster.zip|Air Buster (also known as Aero Blasters)|313.94 KB - Shoot 'em up/2p - (c)1991 Kaneko|321474
Air%20Diver.zip|Air Diver|274.22 KB - Flight simulator/1p - (c)1990 Seismic Software|280806
Aladdin%20-%20Final%20Cut.zip|Aladdin - Final Cut|1.25 MB|1311914
Aladdin.zip|Aladdin|1.13 MB|1187531
Alex%20Kidd%20in%20the%20Enchanted%20Castle.zip|Alex Kidd in the Enchanted Castle|150.74 KB - Platform/1p - (c)1989 Sega|154361
Alien%203.zip|Alien 3|312.99 KB - Platform/1p - (c)1992 Arena|320499
Alien%20Soldier.zip|Alien Soldier|1.06 MB - Run and gun/1p - (c)2007 Sega|1110381
Alien%20Storm.zip|Alien Storm|363.85 KB - Beat 'em up/2p - (c)1991 Sega|372582
Alisia%20Dragoon.zip|Alisia Dragoon|597.06 KB - Platform/1p - (c)1992 Sega|611388
Altered%20Beast.zip|Altered Beast (also known as Juuouki)|320.04 KB - Beat 'em up/2p - (c)1989 Sega|327722
