game_name|game_ext|game_size
3D Model RGB Test Program (USA) (Test Program)|.zip|7687835
007 - The World Is Not Enough (Europe) (En,Fr,De)|.zip|26556695
007 - The World Is Not Enough (USA) (v2) (Beta)|.zip|7237283
007 - The World Is Not Enough (USA) (v21) (Beta)|.zip|26345342
007 - The World Is Not Enough (USA)|.zip|26574277
40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)|.zip|29934202
40 Winks (Europe) (En,Fr,Es) (Aftermarket) (Unl)|.zip|29918516
40 Winks (USA) (Aftermarket) (Unl)|.zip|29902534
40 Winks (USA) (Proto) (2000-01-10)|.zip|29918766
64 Hanafuda - Tenshi no Yakusoku (Japan)|.zip|3842186
64 Oozumou (Japan)|.zip|11099775
64 Oozumou 2 (Japan)|.zip|8928165
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)|.zip|6471869
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)|.zip|9985412
64Noid (World) (Demo) (N64brew Game Jam 2020) (Aftermarket) (Unl)|.zip|75214
77a (World) (Presence of Mind '98) (Unl)|.zip|206913
77a Special Edition (World) (Summer64) (Unl)|.zip|539888
1080 Snowboarding (Europe) (En,Ja,Fr,De)|.zip|11261864
1080 Snowboarding (Japan, USA) (En,Ja)|.zip|11827167
1080 Snowboarding (USA) (En,Ja) (LodgeNet)|.zip|11263445
2048 (World) (En,Fr,Es) (Aftermarket) (Unl)|.zip|8395676
AI Shougi 3 (Japan)|.zip|3134930
Action Replay Pro 64 (Europe) (v3.0) (Unl)|.zip|165691
Action Replay Pro 64 (Europe) (v3.3) (Unl)|.zip|191991
AeroFighters Assault (Europe) (En,Fr,De)|.zip|9062098
AeroFighters Assault (USA)|.zip|4995481
AeroGauge (Europe) (En,Fr,De)|.zip|3488000
AeroGauge (Japan) (Demo) (Kiosk)|.zip|2970972
AeroGauge (Japan) (Rev 1)|.zip|2973706
AeroGauge (USA)|.zip|3012365
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02)|.zip|30225023
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-04-10)|.zip|30225297
Aidyn Chronicles - The First Mage (Europe)|.zip|30225346
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10)|.zip|17367082
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09)|.zip|26166327
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05)|.zip|29639487
Aidyn Chronicles - The First Mage (USA) (Rev 1)|.zip|30220550
Aidyn Chronicles - The First Mage (USA)|.zip|30220123
Air Boarder 64 (Japan)|.zip|6863396
Airboarder 64 (Europe)|.zip|6835671
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan)|.zip|9920705
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan)|.zip|14269685
Alien Sun (World) (Proto) (N64brew Game Jam 2023) (Aftermarket) (Unl)|.zip|1210593
All-Star Baseball 99 (Europe)|.zip|11756397
All-Star Baseball 99 (USA)|.zip|11758656
All-Star Baseball 2000 (Europe)|.zip|15446893
All-Star Baseball 2000 (USA)|.zip|15440422
All-Star Baseball 2001 (USA)|.zip|15438555
All Star Tennis '99 (Europe) (En,Fr,De,Es,It)|.zip|3507092
All Star Tennis 99 (USA)|.zip|3511959
Armorines - Project S.W.A.R.M. (Europe)|.zip|13921531
Armorines - Project S.W.A.R.M. (Germany)|.zip|13721796
Armorines - Project S.W.A.R.M. (USA)|.zip|13726280
Army Men - Air Combat (USA)|.zip|5137292
Army Men - Sarge's Heroes (Europe) (En,Fr,De)|.zip|5429600
Army Men - Sarge's Heroes (USA)|.zip|5351883
Army Men - Sarge's Heroes 2 (USA)|.zip|4983507
Asteroid Shooter (World) (Demo) (Aftermarket) (Unl)|.zip|79266
Asteroids 64 (World) (N64brew Game Jam 2021) (Aftermarket) (Unl)|.zip|58667
Asteroids Hyper 64 (USA)|.zip|2879854
Ataxx 64 (World) (Unl)|.zip|248903
Automobili Lamborghini (Europe)|.zip|2814001
Automobili Lamborghini (USA)|.zip|2814145
Baku Bomberman (Japan)|.zip|5380293
Baku Bomberman 2 (Japan)|.zip|11422414
Bakuretsu Muteki Bangaioh (Japan)|.zip|7492632
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)|.zip|7537562
Banjo-Kazooie (Europe) (En,Fr,De)|.zip|16489320
Banjo-Kazooie (USA) (Rev 1)|.zip|16348377
Banjo-Kazooie (USA)|.zip|16308115
Banjo-Tooie (Australia)|.zip|32322416
Banjo-Tooie (Europe) (En,Fr,De,Es)|.zip|32827777
Banjo-Tooie (USA)|.zip|32775626
Banjo to Kazooie no Daibouken (Japan)|.zip|16469515
