game_name|game_ext|game_size
'89 Dennou Kyuusei Uranai (Japan)|.zip|129656
'93 Chaoji Hun (Contra '93) (Asia) (Pirate)|.zip|92410
0-to-X (World) (Demo) (Aftermarket) (Unl)|.zip|2740
2-in-1 - Conan &amp; Rygar (Asia) (En) (RC58) (Pirate)|.zip|151575
2-in-1 - Shuang Wang Ji (Asia) (Pirate)|.zip|324081
2-in-1 - Street Dance + Hit Mouse (China) (En) (Aftermarket) (Unl)|.zip|1528597
2-in-1 - Zhili Pintu + Dudu Wawa Da Maoxian (China) (Unl)|.zip|73693
2-in-1 Geminim-Siamond (World) (Aftermarket) (Unl)|.zip|27260
2A03 Puritans (World) (Aftermarket) (Unl)|.zip|386017
3-D WorldRunner (USA)|.zip|48277
3-in-1 (Asia) (En) (Super 308) (Pirate)|.zip|495658
3-in-1 2p Pak (World) (Beta) (2012-03-17) (Aftermarket) (Unl)|.zip|8929
3-in-1 2p Pak (World) (Robert L Bryant) (Aftermarket) (Unl)|.zip|15162
3-in-1 2p Pak (World) (Sly Dog Studios) (Aftermarket) (Unl)|.zip|15626
3-in-1 Supergun (Asia) (En) (Unl)|.zip|30305
3D Block (Asia) (En) (Hwang Shinwei) (Unl)|.zip|19937
3D Block (Asia) (En) (RCM Group) (Unl)|.zip|15589
4 Nin Uchi Mahjong (Japan) (Rev 1)|.zip|15309
4 Nin Uchi Mahjong (Japan)|.zip|15292
4-in-1 (Asia) (En) (AP009) (Pirate)|.zip|479845
4-in-1 (CK-001) (Asia) (En) (Pirate)|.zip|285850
4-in-1 (SN 406) (Asia) (En) (Pirate)|.zip|62047
4-in-1 - BattleCity - Pac-Man - Galaga - Ice Climber (Asia) (En) (Pirate)|.zip|60032
4-in-1 - Unsurpass Air-Combat Series (Asia) (Ja) (TY018) (Pirate)|.zip|430849
5-STAR Restaurant (World) (Aftermarket) (Unl)|.zip|17869
5-in-1 (1993) (Asia) (En) (Unl)|.zip|114416
