game_id|game_name|game_info|game_size
forgottn.zip|Forgotten Worlds (World, newer)|Capcom/1988|
forgottna.zip|Forgotten Worlds (World)|Capcom/1988|
forgottnu.zip|Forgotten Worlds (USA, B-Board 88621B-2, Rev. C)|Capcom/1988|
forgottnue.zip|Forgotten Worlds (USA, B-Board 88618B-2, Rev. E)|Capcom/1988|
forgottnuc.zip|Forgotten Worlds (USA, B-Board 88618B-2, Rev. C)|Capcom/1988|
forgottnua.zip|Forgotten Worlds (USA, B-Board 88618B-2, Rev. A)|Capcom/1988|
forgottnuaa.zip|Forgotten Worlds (USA, B-Board 88618B-2, Rev. AA)|Capcom/1988|
forgottnj.zip|Forgotten Worlds (Japan) (English prototype)|Capcom/1988|
lostwrld.zip|Lost Worlds (Japan)|Capcom/1988|
lostwrldo.zip|Lost Worlds (Japan Old Ver.)|Capcom/1988|
ghouls.zip|Ghouls'n Ghosts (World)|Capcom/1988|
ghoulsu.zip|Ghouls'n Ghosts (USA)|Capcom/1988|
daimakai.zip|Daimakaimura (Japan)|Capcom/1988|
daimakair.zip|Daimakaimura (Japan Resale Ver.)|Capcom/1988|
strider.zip|Strider (USA, B-Board 89624B-2)|Capcom/1989|
striderua.zip|Strider (USA, B-Board 89624B-3)|Capcom/1989|
strideruc.zip|Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion)|bootleg (Capcom)/1989|
striderj.zip|Strider Hiryu (Japan)|Capcom/1989|
striderjr.zip|Strider Hiryu (Japan Resale Ver.)|Capcom/1989|
dynwar.zip|Dynasty Wars (USA, B-Board 89624B-?)|Capcom/1989|
dynwara.zip|Dynasty Wars (USA, B-Board 88622B-3)|Capcom/1989|
dynwarj.zip|Tenchi wo Kurau (Japan)|Capcom/1989|
dynwarjr.zip|Tenchi wo Kurau (Japan Resale Ver.)|Capcom/1989|
willow.zip|Willow (World)|Capcom/1989|
willowu.zip|Willow (USA)|Capcom/1989|
willowuo.zip|Willow (USA Old Ver.)|Capcom/1989|
willowj.zip|Willow (Japan)|Capcom/1989|
unsquad.zip|U.N. Squadron (USA)|Capcom/1989|
area88.zip|Area 88 (Japan)|Capcom/1989|
area88r.zip|Area 88 (Japan Resale Ver.)|Capcom/1989|
ffight.zip|Final Fight (World, set 1)|Capcom/1989|
ffighta.zip|Final Fight (World, set 2)|Capcom/1989|
ffightu.zip|Final Fight (USA, set 1)|Capcom/1989|
ffightu1.zip|Final Fight (USA, set 2)|Capcom/1989|
ffightua.zip|Final Fight (USA 900112)|Capcom/1989|
ffightub.zip|Final Fight (USA 900424)|Capcom/1989|
ffightuc.zip|Final Fight (USA 900613)|Capcom/1989|
ffightj.zip|Final Fight (Japan)|Capcom/1989|
ffightj1.zip|Final Fight (Japan 900112)|Capcom/1989|
ffightj2.zip|Final Fight (Japan 900305)|Capcom/1989|
ffightj3.zip|Final Fight (Japan 900405)|Capcom/1989|
ffightj4.zip|Final Fight (Japan 900613)|Capcom/1989|
ffightjh.zip|Street Smart / Final Fight (Japan, hack)|bootleg/1989|
ffightae.zip|Final Fight 30th Anniversary Edition (World, hack)|hack/2019|
1941.zip|1941: Counter Attack (World 900227)|Capcom/1990|
