game_id|game_name|game_info|game_size
10yard.zip|10-Yard Fight|61.2K - Sports/2p - (c)1985 Tecmo|62708
1941.zip|1941: Counter Attack|1.4M - Shoot 'em up/2p - (c)1990 Capcom|1420289
1942.zip|1942|104.3K - Shoot 'em up/2p - (c)1984 Capcom|106788
1943.zip|1943: The Battle of Midway|298.5K - Shoot 'em up/2p - (c)1987 Capcom|305674
1943kai.zip|1943 Kai|306.0K - Shoot 'em up/2p - (c)1988 Capcom|313346
1944u.zip|1944: The Loop Master|14.7M - Shoot 'em up/2p - (c)2000 Capcom|15448225
1945kiii.zip|1945k III|2.6M - Shoot 'em up/2p - (c)2000 Oriental Software|2746050
19xx.zip|19XX: The War Against Destiny|7.5M - Shoot 'em up/2p - (c)1995 Capcom|7838697
3stooges.zip|The Three Stooges (also known as The Three Stooges in Brides Is Brides)|71.6K - Action/3p - (c)1984 Mylstar|73365
3wonders.zip|Three Wonders|2.4M - Compilation/2p - (c)1991 Capcom|2479888
64street.zip|64th Street: A Detective Story|1.2M - Beat 'em up/2p - (c)1991 Jaleco|1294215
99lstwar.zip|'99: The Last War (also known as Son of Phoenix)|81.7K - Shoot 'em up/2p - (c)1985 Kyugo Boueki|83684
abcop.zip|A.B. Cop|1.5M - Racing/1p - (c)1989 Sega|1524019
aburner2.zip|After Burner II|1.5M - Flight simulator/1p - (c)1987 Sega|1547888
acrobatm.zip|Acrobat Mission|1.6M - Shoot 'em up/2p - (c)1991 UPL|1707530
actfancr.zip|Act-Fancer: Cybernetick Hyper Weapon|448.6K - Run and gun/2p - (c)1989 Data East|459404
aerofgt.zip|Aero Fighters (also known as Sonic Wings)|2.0M - Shoot 'em up/2p - (c)1992 McO'River|2083061
afighter.zip|Action Fighter|385.9K - Shoot 'em up/2p - (c)1986 Sega|395122
agalletu.zip|Air Gallet|7.0M - Shoot 'em up/2p - (c)1996 Banpresto|7359169
airass.zip|Air Assault (also known as Fire Barrel)|3.1M - Shoot 'em up/2p - (c)1993 Irem|3297750
airattck.zip|Air Attack|1,014.7K - Shoot 'em up/2p - (c)1996 Comad|1039041
airbustr.zip|Air Buster (also known as Aero Blasters)|677.7K - Shoot 'em up/2p - (c)1990 Namco|693968
ajax.zip|A-Jax (also known as Typhoon)|1.3M - Shoot 'em up/2p - (c)1987 Konami|1354003
alcon.zip|Alcon (also known as Slap Fight)|148.8K - Shoot 'em up/1p - (c)1986 Taito|152322
alexkidd.zip|Alex Kidd: The Lost Stars|297.5K - Platform/2p - (c)1986 Sega|304621
aliens.zip|Aliens|1.4M - Run and gun/2p - (c)1990 Konami|1506389
aliensyn.zip|Alien Syndrome|460.7K - Run and gun/2p - (c)1986 Sega|471744
aligator.zip|Alligator Hunt|8.4M - Rail shooter/2p - (c)1994 Gaelco|8822913
alphamis.zip|Alpha Mission (also known as ASO: Armored Scrum Object)|123.0K - Shoot 'em up/2p - (c)1985 SNK|125956
alpine.zip|Alpine Ski|27.6K - Sports/1p - (c)1982 Taito|28263
altbeast.zip|Altered Beast (also known as Juuouki)|829.6K - Beat 'em up/2p - (c)1988 Sega|849527
amidar.zip|Amidar|16.5K - Action/2p - (c)1981 Stern|16939
anteater.zip|Anteater|14.7K - Action/2p - (c)1982 Tago Electronics|15072
aquajack.zip|Aqua Jack|2.3M - Shoot 'em up/1p - (c)1990 Romstar|2426549
arabian.zip|Arabian|37.2K - Platform/2p - (c)1983 Atari|38129
arabianm.zip|Arabian Magic|4.2M - Beat 'em up/4p - (c)1992 Taito|4392341
arkanoid.zip|Arkanoid|70.5K - Action/2p - (c)1986 Taito|72162
arknoid2.zip|Arkanoid: Revenge of Doh|161.4K - Action/2p - (c)1987 Romstar|165319
armedf.zip|Formation Armed F|382.6K - Shoot 'em up/2p - (c)1988 Nichibutsu|391750
armwaru.zip|Armored Warriors (also known as Powered Gear)|14.8M - Beat 'em up/3p - (c)1994 Capcom|15566422
assault.zip|Assault|1.1M - Shoot 'em up/1p - (c)1988 Atari|1162163
astdelux.zip|Asteroids Deluxe|10.6K - Shoot 'em up/2p - (c)1981 Atari|10848
asterix.zip|Asterix|3.5M - Beat 'em up/2p - (c)1992 Konami|3669047
asteroid.zip|Asteroids|7.1K - Shoot 'em up/2p - (c)1979 Atari|7264
astorm.zip|Alien Storm|2.1M - Beat 'em up/3p - (c)1990 Sega|2157760
astyanax.zip|The Astyanax (also known as The Lord of King)|1.1M - Platform/2p - (c)1989 Jaleco|1101266
asurabld.zip|Asura Blade: Sword of Dynasty|8.5M - Fighting/2p - (c)1999 Fuuki|8929380
asurabus.zip|Asura Buster: Eternal Warriors|11.4M - Fighting/2p - (c)2000 Fuuki|11929096
atetris.zip|Tetris|52.2K - Puzzle/2p - (c)1989 Atari|53466
athena.zip|Athena|141.8K - Platform/2p - (c)1986 SNK|145206
atlantis.zip|Battle of Atlantis|12.6K - Shoot 'em up/2p - (c)1981 Comsoft/Game World|12897
aurail.zip|Aurail|1.3M - Shoot 'em up/2p - (c)1990 Sega|1351271
avengers.zip|Avengers|350.1K - Beat 'em up/2p - (c)1988 Capcom|358507
avengrgs.zip|Avengers in Galactic Storm|16.7M - Fighting/2p - (c)1996 Data East|17490659
avspirit.zip|Avenging Spirit (also known as Phantasm)|1.0M - Platform/2p - (c)1991 Jaleco|1060778
avspu.zip|Alien vs. Predator|10.0M - Beat 'em up/3p - (c)1994 Capcom|10447388
baddudes.zip|Bad Dudes vs. Dragon Ninja|445.1K - Beat 'em up/2p - (c)1988 Data East|455740
badlands.zip|Badlands|357.4K - Racing/3p - (c)1984 Konami|365958
bagman.zip|Bagman (also known as Le Bagnard)|22.7K - Platform/2p - (c)1982 Stern|23250
bakutotu.zip|Baraduke II: Bakutotsu Kijuutei|345.4K - Shoot 'em up/2p - (c)1988 Namco|353663
bankp.zip|Bank Panic|66.5K - Gallery shooter/2p - (c)1983 Sega|68081
baraduke.zip|Baraduke (also known as Alien Sector)|38.3K - Shoot 'em up/2p - (c)1985 Namco|39170
batcir.zip|Battle Circuit|10.8M - Beat 'em up/4p - (c)1997 Capcom|11310224
batman.zip|Batman|1.5M - Platform/1p - (c)1991 Atari|1619951
batrideru.zip|Armed Police Batrider|7.9M - Shoot 'em up/2p - (c)1998 Eighting/Raizing|8265925
batsugun.zip|Batsugun|2.3M - Shoot 'em up/2p - (c)1993 Toaplan|2409980
battlnts.zip|Battlantis|224.5K - Shoot 'em up/2p - (c)1987 Konami|229889
battroad.zip|The Battle-Road|69.2K - Vehicular combat/2p - (c)1984 Irem|70832
bbakraid.zip|Battle Bakraid|15.4M - Shoot 'em up/2p - (c)1999 Eighting/Raizing|16165731
bbmanw.zip|Bomberman World|526.9K - Puzzle/4p - (c)1992 Irem|539577
bbros.zip|Buster Bros. (also known as Pang)|411.6K - Action/2p - (c)1989 Capcom|421485
bbusters.zip|Beast Busters|2.2M - Gallery shooter/3p - (c)1990 SNK|2351051
bchopper.zip|Battle Chopper (also known as Mr. Heli)|611.0K - Shoot 'em up/2p - (c)1987 Irem|625668
berlwall.zip|The Berlin Wall|2.2M - Action/2p - (c)1991 Kaneko|2285868
berzerk.zip|Berzerk|13.0K - Shooter/2p - (c)1980 Stern|13319
bgaregga.zip|Battle Garegga|4.0M - Shoot 'em up/2p - (c)1996 Eighting/Raizing|4197974
bionicc1.zip|Bionic Commando|334.2K - Platform/2p - (c)1987 Capcom|342237
bioship.zip|Bio-Ship Paladin (also known as Spaceship Gomera)|1.3M - Shoot 'em up/2p - (c)1990 UPL|1367266
bladestl.zip|Blades of Steel: The Supreme Hockey Challenge|868.9K - Sports/2p - (c)1987 Konami|889791
blandia.zip|Blandia|3.2M - Fighting/2p - (c)1992 Allumer|3357386
blaster.zip|Blaster|108.5K - Shooter (TPS)/2p - (c)1983 Williams Electronics|111076
blazeon.zip|BlaZeon|1.6M - Shoot 'em up/2p - (c)1992 Atlus|1706573
blazer.zip|Blazer|993.9K - Shoot 'em up/2p - (c)1987 Namco|1017737
blkheart.zip|Black Heart|1.1M - Shoot 'em up/2p - (c)1991 UPL|1150297
blkhole.zip|Black Hole|10.1K - Shoot 'em up/2p - (c)1981 Game-A-Tron|10362
blktiger.zip|Black Tiger (also known as Black Dragon)|330.8K - Platform/2p - (c)1987 Capcom|338722
blockcar.zip|Thunder & Lightning 2 (also known as Block Carnival)|781.5K - Puzzle/2p - (c)1992 Visco|800288
bloodbro.zip|Blood Bros.|1.1M - Gallery shooter/2p - (c)1991 Fabtek|1165108
bloodstm.zip|BloodStorm|8.7M - Fighting/2p - (c)1994 Strata|9170045
bloodwar.zip|Blood Warrior|11.3M - Fighting/2p - (c)1994 Kaneko|11874143
bloxeed.zip|Bloxeed|180.5K - Puzzle/2p - (c)1990 Sega|184809
