game_name|game_ext|game_size
2 Ciclopes and Friends - The Fight Game (World) (Pt) (Beta) (Aftermarket) (Unl)|.zip|169588
2 Ciclopes and Friends - The Fight Game - Winner Edition (World) (Pt) (Aftermarket) (Unl)|.zip|429053
2 Ciclopes e Amigos - Fight Game - Winner Edition - New Challengers (World) (Pt) (Aftermarket) (Unl)|.zip|819843
3 Ninjas Kick Back (USA)|.zip|918556
6-Pak (USA)|.zip|1841916
007 Shitou - The Duel (Japan)|.zip|305847
10 Super Jogos (Brazil) (En)|.zip|2748488
14-in-1 (Taiwan) (En) (Aftermarket) (Pirate)|.zip|2354432
16t (Japan) (Game no Kanzume Otokuyou)|.zip|113816
16t (Japan) (Game no Kanzume Vol. 2)|.zip|114269
16t (Japan) (SegaNet)|.zip|113783
30 Years of Nintendon't (World) (Aftermarket) (Unl)|.zip|186779
30 Years of Nintendon't (World) (Digital) (Aftermarket) (Unl)|.zip|186163
99 Balls (World) (Aftermarket) (Unl)|.zip|43093
240p Test Suite (World) (v1.23) (Emu) (Program) (Aftermarket) (Unl)|.zip|80221
240p Test Suite (World) (v1.23) (Program) (Aftermarket) (Unl)|.zip|80208
688 Attack Sub (USA, Europe)|.zip|623730
2020 Nen Super Baseball (Japan)|.zip|1087274
AA6061 (World) (Aftermarket) (Unl)|.zip|69473
A Ressha de Ikou MD (Japan)|.zip|188867
ASAP PLZ (World) (Aftermarket) (Unl)|.zip|259713
ATP Tour (Europe)|.zip|1038252
ATP Tour Championship Tennis (USA) (Beta) (1994-05-09)|.zip|960066
ATP Tour Championship Tennis (USA) (Beta) (1994-07-19)|.zip|1037845
ATP Tour Championship Tennis (USA) (Beta) (1994-07-23)|.zip|1038011
ATP Tour Championship Tennis (USA) (Beta) (1994-08-02)|.zip|1037684
ATP Tour Championship Tennis (USA) (Beta) (1994-08-05)|.zip|1037830
ATP Tour Championship Tennis (USA) (Beta) (1994-08-08)|.zip|1037893
ATP Tour Championship Tennis (USA) (Beta) (1994-09-08)|.zip|1038132
ATP Tour Championship Tennis (USA)|.zip|1038137
Aa Harimanada (Japan)|.zip|1088164
Aaahh!!! Real Monsters (Europe)|.zip|952979
Aaahh!!! Real Monsters (USA) (Beta) (1995-07-07)|.zip|954213
Aaahh!!! Real Monsters (USA)|.zip|952948
Abbaye des Morts, L' (World) (Beta) (2017-09-07) (Aftermarket) (Unl)|.zip|1036397
Abyssal Infants (World) (Proto 1) (4MB Jam) (Aftermarket) (Unl)|.zip|155916
Abyssal Infants (World) (Proto 2) (Aftermarket) (Unl)|.zip|207611
Abyssal Infants (World) (Proto 3) (Aftermarket) (Unl)|.zip|207481
Academia do Saber (Brazil) (Mega Drive 4)|.zip|238529
Action 52 (USA) (Unl)|.zip|562168
Action Replay (Europe) (Program) (Unl)|.zip|10834
Addams Family, The (USA, Europe) (Beta)|.zip|615477
Addams Family, The (USA, Europe)|.zip|615620
Addams Family Values (Europe) (En,Fr,De)|.zip|1123143
Addams Family Values (USA) (En,Fr,De) (Proto)|.zip|992468
Advanced Busterhawk Gley Lancer (Japan) (Aftermarket) (Unl)|.zip|785246
Advanced Busterhawk Gley Lancer (Japan)|.zip|783738
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Beta) (1991-03-07)|.zip|745892
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A)|.zip|748581
Adventures of Batman &amp; Robin, The (Europe)|.zip|1191793
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-06)|.zip|1088912
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-10)|.zip|1143596
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-11)|.zip|1165365
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-18)|.zip|1180581
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-19)|.zip|1194534
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-21)|.zip|1194945
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-22)|.zip|1196588
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-24)|.zip|1185617
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-26)|.zip|1187420
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-27)|.zip|1191421
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-04-28)|.zip|1191555
Adventures of Batman &amp; Robin, The (USA) (Beta) (1995-05-01)|.zip|1191696
Adventures of Batman &amp; Robin, The (USA)|.zip|1191650
Adventures of Mighty Max, The (Europe)|.zip|555356
Adventures of Mighty Max, The (USA)|.zip|555330
Adventures of Rocky and Bullwinkle and Friends, The (USA)|.zip|560147
Adventures of the Gummi Bears, The (Russia) (Aftermarket) (Unl)|.zip|137808
Adventurous Boy - Maoxian Xiaozi (Taiwan) (En) (Unl)|.zip|195337
Aero Blasters (Japan)|.zip|320609
Aerobiz (USA)|.zip|422117
Aerobiz Supersonic (USA)|.zip|475642
Aero the Acro-Bat (Europe) (Beta)|.zip|518892
Aero the Acro-Bat (Europe)|.zip|518878
Aero the Acro-Bat (USA)|.zip|519575
Aero the Acro-Bat 2 (Europe)|.zip|1129810
Aero the Acro-Bat 2 (USA)|.zip|1129620
After Burner II (Japan)|.zip|247647
After Burner II (USA, Europe)|.zip|245764
Agent Hugo - Environment at Risk (Russia) (Aftermarket) (Unl)|.zip|584867
Agent Hugo - In the World of Dinosaurs (Russia) (Aftermarket) (Unl)|.zip|579584
Ah Q Lianhuan Pao (Taiwan) (Unl)|.zip|626516
Air Buster (USA)|.zip|320022
Air Diver (Japan)|.zip|276323
Air Diver (USA)|.zip|277524
Air Hockey (Brazil) (Mega Drive 4)|.zip|68940
Air Hockey (Europe) (Sega Reactor)|.zip|70428
Air Management - Oozora ni Kakeru (Japan)|.zip|440833
Air Management II - Koukuuou o Mezase (Japan)|.zip|471205
Akira (USA) (Proto)|.zip|1318829
Al Michaels Announces HardBall III (USA, Europe)|.zip|1068145
Aladdin (Europe)|.zip|1174816
Aladdin (Japan) (En) (Beta) (1993-07-31)|.zip|1174799
Aladdin (Japan)|.zip|1172998
Aladdin (USA) (Beta) (1993-06-27)|.zip|1139310
Aladdin (USA) (Beta) (1993-07-xx)|.zip|1174830
Aladdin (USA) (Final Cut)|.zip|1295130
Aladdin (USA)|.zip|1174803
Aladdin (World) (Beta) (Disney Classic Games)|.zip|1139318
Aladdin (World) (Disney Classic Games)|.zip|1174844
Aladdin (World) (Ja) (Disney Classic Games)|.zip|1173050
Aladdin II (Taiwan) (En) (Unl)|.zip|707403
Alex Kidd - Cheongong Maseong (Korea)|.zip|153585
Alex Kidd - Tenkuu Majou (Japan)|.zip|158059
Alex Kidd in the Enchanted Castle (Europe)|.zip|153453
Alex Kidd in the Enchanted Castle (USA)|.zip|153425
Alien 3 (USA, Europe) (Rev A)|.zip|318063
Alien 3 (USA, Europe)|.zip|317537
Alien 3 (World) (Pirate)|.zip|317562
Alien Cat 2 (World) (Demo) (Aftermarket) (Unl)|.zip|273937
Alien Soldier (Europe)|.zip|1106881
Alien Soldier (Japan)|.zip|1106270
Alien Soldier (USA) (Virtual Console)|.zip|1106909
Alien Soldier (USA, Europe) (Switch Online)|.zip|1106924
Alien Storm (World) (SEGA Classic Collection)|.zip|371289
Alien Storm (World)|.zip|371021
Alisia Dragoon (Europe)|.zip|609200
Alisia Dragoon (Japan) (Mega Drive Mini)|.zip|609968
Alisia Dragoon (Japan)|.zip|609926
Alisia Dragoon (USA) (Genesis Mini)|.zip|609024
Alisia Dragoon (USA)|.zip|608992
AlterEgo - Dreamwalker (World) (Evercade) (Aftermarket) (Unl)|.zip|247454
AlterEgo - Remastered (World) (Aftermarket) (Unl)|.zip|245433
Altered Beast (Japan, USA) (En) (Rev A)|.zip|322979
Altered Beast (Japan, USA) (En) (Sega 3D Classics Collection)|.zip|323099
Altered Beast (USA, Europe) (Sega 3D Classics Collection)|.zip|325333
Altered Beast (USA, Europe)|.zip|325179
American Gladiators (USA)|.zip|422454
Anaconda (Brazil) (Mega Drive 4)|.zip|46724
Andre Agassi Tennis (Europe)|.zip|337371
Andre Agassi Tennis (USA) (Beta) (1992-08-xx)|.zip|335491
Andre Agassi Tennis (USA)|.zip|336774
Angry Birds (Russia) (En) (Aftermarket) (Unl)|.zip|1443225
Angry Birds - Star Wars (Russia) (Aftermarket) (Unl)|.zip|194612
Angry Birds in Russia (Russia) (Aftermarket) (Unl)|.zip|177141
Animaniacs (Europe) (En,Fr,De)|.zip|638937
Animaniacs (USA)|.zip|632764
Aniversario (Brazil) (Mega Drive 4)|.zip|52360
Another World (Europe)|.zip|516215
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)|.zip|715773
Aquaduto (Brazil) (Mega Drive 4)|.zip|34367
Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)|.zip|205316
Arcade Classics (USA, Europe)|.zip|103517
Arcade Legends Sega Mega Drive (World)|.zip|2451313
Arcade Legends Street Fighter II' - Special Champion Edition (World)|.zip|2141874
Arch Rivals - The Arcade Game (USA, Europe)|.zip|201404
Arcus Odyssey (Japan)|.zip|823924
Arcus Odyssey (USA)|.zip|803442
Arcus Odyssey (World) (Evercade) (Unl)|.zip|802438
Argentina Soccer 2006 (Argentina) (Pirate)|.zip|1198266
Ariel - The Little Mermaid (USA, Europe) (1992-10-10) (Sega Channel)|.zip|308341
Ariel - The Little Mermaid (USA, Europe)|.zip|308270
Ariel - The Little Mermaid (World) (Pirate)|.zip|308290
Arkagis Revolution (World) (En,Es) (Beta) (2019-07-29) (Aftermarket) (Unl)|.zip|265225
Arkagis Revolution (World) (En,Es) (Beta) (2019-09-02) (Aftermarket) (Unl)|.zip|265881
Arkagis Revolution (World) (En,Es) (Beta) (2019-09-16) (Aftermarket) (Unl)|.zip|266145
Arkagis Revolution (World) (En,Fr,Es) (Beta) (2019-11-28) (Aftermarket) (Unl)|.zip|270326
Arkagis Revolution (World) (En,Fr,Es) (Beta) (2020-02-21) (Aftermarket) (Unl)|.zip|270442
Arkagis Revolution (World) (En,Fr,Es) (Beta) (2020-03-04) (Aftermarket) (Unl)|.zip|270312
Arkagis Revolution (World) (En,Fr,Es) (Digital) (Evercade) (Aftermarket) (Unl)|.zip|983476
Arkagis Revolution - Input Diagnostics (World) (Aftermarket) (Unl)|.zip|23477
Arnold Palmer Tournament Golf (USA, Europe) (Rev A) (Beta) (1990-03-22) (Sega Channel)|.zip|298081
Arnold Palmer Tournament Golf (USA, Europe)|.zip|297297
Arrow Flash (Japan, Europe) (En)|.zip|257695
Arrow Flash (USA)|.zip|257884
Art Alive (World) (Beta) (1991-09-20)|.zip|59561
Art Alive (World)|.zip|58851
Art of Fighting (Europe)|.zip|951495
Art of Fighting (USA) (Beta) (1994-07-11)|.zip|953478
Art of Fighting (USA)|.zip|953420
Asa Delta (Brazil) (Mega Drive 4)|.zip|70578
Astebros (World) (Demo) (Aftermarket) (Unl)|.zip|1787380
