game_id|game_name|game_info|game_size
10yard.zip|10-Yard Fight (World, set 1)|145.4K/M58/Irem/1983|148929
1941.zip|1941: Counter Attack (World 900227)|2.9M/CPS1/Capcom/1990|3042127
1942.zip|1942 (Revision B)|418.6K/Miscellaneous/Capcom/1984|428660
1943.zip|1943: The Battle of Midway (Euro)|786.7K/Miscellaneous/Capcom/1987|805560
1943kai.zip|1943 Kai: Midway Kaisen (Japan)|306.0K/Miscellaneous/Capcom/1987|313346
1943mii.zip|1943: The Battle of Midway Mark II (US)|306.5K/Miscellaneous/Capcom/1988|313840
1944.zip|1944: The Loop Master (Europe 000620)|15.3M/CPS2/Eighting / Raizing (Capcom license)/2000|16063610
1945kiii.zip|1945k III (newer, OPCX2 PCB)|7.1M/Miscellaneous/Oriental Soft/2000|7401078
19xx.zip|19XX: The War Against Destiny (Europe 960104)|21.0M/CPS2/Capcom/1996|22052749
2020bb.zip|2020 Super Baseball (set 1)|3.1M/Neo Geo MVS/SNK / Pallas/1991|3286621
20pacgal.zip|Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)|415.5K/Miscellaneous/Namco / Cosmodog/2000|425478
25pacman.zip|Pac-Man - 25th Anniversary Edition (Rev 3.00)|161.1K/Miscellaneous/Namco / Cosmodog/2006|164945
3countb.zip|3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)|7.3M/Neo Geo MVS/SNK/1993|7632895
3in1semi.zip|New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 1)|1.1M/Kaneko Pandora based/SemiCom / XESS/1998|1187337
3kokushi.zip|Sankokushi (Japan)|1.1M/Miscellaneous/Mitchell/1996 Graphics corruption on score/bonus screen is normal|1145521
3on3dunk.zip|3 On 3 Dunk Madness (US, prototype? 1997/02/04)|9.0M/Miscellaneous/Video System Co./1996|9444542
3stooges.zip|The Three Stooges In Brides Is Brides (set 1)|106.4K/Miscellaneous/Mylstar/1984|109001
3wonders.zip|Three Wonders (World 910520)|9.7M/CPS1/Capcom/1991|10156712
3x3puzzl.zip|3X3 Puzzle (Enterprise)|2.7M/Miscellaneous/Ace Enterprise/1998|2828020
4dwarrio.zip|4-D Warriors (315-5162)|101.3K/System 1/Coreland / Sega/1985|103754
4enraya.zip|4 En Raya (set 1)|43.4K/Miscellaneous/IDSA/1990|44452
4in1.zip|4 Fun in 1|68.5K/Galaxian/Armenia / Food and Fun/1981|70097
4in1boot.zip|Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)|1.1M/Kaneko Pandora based/K1 Soft/2002|1185199
64street.zip|64th. Street - A Detective Story (World)|1.4M/Mega System 1/Jaleco/1991|1511397
7ordi.zip|7 Ordi (Korea)|2.2M/Miscellaneous/Yun Sung/2002|2282094
88games.zip|'88 Games|851.1K/GX861/Konami/1988|871518
8ballact.zip|Eight Ball Action (DK conversion)|43.1K/Miscellaneous/Seatongrove UK, Ltd. (Magic Electronics USA license)/1984 Parent set for working drivers|44137
abcop.zip|A.B. Cop (World) (FD1094 317-0169b)|1.6M/X-Board/Sega/1990|1703040
aburner2.zip|After Burner II|2.3M/X-Board/Sega/1987|2367176
aceattac.zip|Ace Attacker (FD1094 317-0059)|733.2K/System 16B/Sega/1988|750759
acrobatm.zip|Acrobat Mission|1.6M/NMK16/UPL (Taito license)/1991|1707530
actfancr.zip|Act-Fancer Cybernetick Hyper Weapon (World revision 3)|622.2K/Miscellaneous/Data East Corporation/1989|637138
actionhw.zip|Action Hollywood|1.3M/Miscellaneous/TCH / Proyesel/1995|1321130
ad2083.zip|A. D. 2083|36.7K/Galaxian/Midcoin/1983 Incomplete Sound|37545
aerofgt.zip|Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)|7.0M/Miscellaneous/Video System Co./1992|7320017
afighter.zip|Action Fighter (FD1089A 317-0018)|1.4M/System 16A/Sega/1986|1500844
agallet.zip|Air Gallet (Europe)|7.2M/Cave/Gazelle (Banpresto license)/1996|7536659
agress.zip|Agress - Missile Daisenryaku (Japan)|242.2K/Miscellaneous/Palco/1991|248039
airass.zip|Air Assault (World)|5.8M/Irem M107/Irem/1993|6131043
airattck.zip|Air Attack (set 1)|1.1M/NMK16/Comad/1996|1114452
airbustr.zip|Air Buster: Trouble Specialty Raid Unit (World)|1.4M/Miscellaneous/Kaneko (Namco license)/1990|1445709
airduel.zip|Air Duel (World, M82 hardware)|1.0M/Irem M82/Irem/1990|1084851
airwolf.zip|Airwolf|267.0K/Miscellaneous/Kyugo/1987|273433
ajax.zip|Ajax|2.5M/GX770/Konami/1987|2589878
akatana.zip|Akai Katana (2010/ 8/13 MASTER VER.)|71.6M/CA021/Cave/2010|75082428
akiss.zip|Mahjong Angel Kiss (ver 1.0)|12.6M/MegaSystem 32/Jaleco/1995|13222532
akkaarrh.zip|Akka Arrh (prototype)|26.7K/Miscellaneous/Atari/1982 Video issue when zooming|27311
alcon.zip|Alcon (US)|295.2K/Miscellaneous/Toaplan / Taito America Corp./1986|302277
alexkidd.zip|Alex Kidd: The Lost Stars (set 2, unprotected)|464.4K/System 16A/Sega/1986|475538
alibaba.zip|Ali Baba and 40 Thieves|22.6K/Pac-man/Sega/1982|23177
alien3.zip|Alien3: The Gun (World)|9.7M/System 32/Sega/1993|10212851
alienar.zip|Alien Arena|19.5K/6809 System/Duncan Brown/1985 Game has no sound|19941
aliencha.zip|Alien Challenge (World)|11.1M/Miscellaneous/IGS/1994|11600430
aliens.zip|Aliens (World set 1)|1.9M/GX875/Konami/1990|2000848
aliensec.zip|Alien Sector|117.2K/Miscellaneous/Namco/1985|120045
aliensyn.zip|Alien Syndrome (set 4, System 16B, unprotected)|1.2M/System 16B/Sega/1987|1285233
aligator.zip|Alligator Hunt (World, protected)|17.3M/Miscellaneous/Gaelco/1994|18172951
alinvade.zip|Alien Invaders|5.1K/Miscellaneous/Forbes?/198? preliminary sound|5197
alpha1v.zip|Alpha One (Vision Electronics)|25.1K/Miscellaneous/Vision Electronics/1988|25694
alphaho.zip|Alpha Fighter / Head On|14.1K/Vic Dual/Data East Corporation/19?? No sound|14445
alpham2.zip|Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007)|6.2M/Neo Geo MVS/SNK/1991|6510962
alpine.zip|Alpine Ski (set 1)|48.2K/Taito SJ System/Taito Corporation/1982|49307
altbeast.zip|Altered Beast (set 8) (8751 317-0078)|2.9M/System 16B/Sega/1988|3064891
amazon.zip|Soldier Girl Amazon|277.4K/Miscellaneous/Nichibutsu/1986|284073
ambush.zip|Ambush|68.2K/Miscellaneous/Tecfri/1983|69855
amidar.zip|Amidar|115.1K/Galaxian/Konami/1982|117855
amspdwy.zip|American Speedway (set 1)|38.8K/Miscellaneous/Enerdyne Technologies Inc./1987|39755
androdun.zip|Andro Dunos (NGM-049 ~ NGH-049)|1.7M/Neo Geo MVS/Visco/1992|1797558
androidp.zip|Android (prototype, later build)|178.9K/Miscellaneous/Nasco/1987|183203
angelkds.zip|Angel Kids (Japan)|221.0K/Miscellaneous/Sega / Nasco?/1988|226341
anteater.zip|Anteater|44.1K/Galaxian/Tago Electronics/1982|45197
aodk.zip|Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008)|9.6M/Neo Geo MVS/ADK / SNK/1994|10054169
aof.zip|Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044)|6.3M/Neo Geo MVS/SNK/1992|6610182
aof2.zip|Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056)|12.0M/Neo Geo MVS/SNK/1994|12551219
aof3.zip|Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden|16.5M/Neo Geo MVS/SNK/1996|17256335
aoh.zip|Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)|29.1M/Miscellaneous/Unico/2001|30462319
appoooh.zip|Appoooh|118.3K/Miscellaneous/Sanritsu / Sega/1984|121145
aquajack.zip|Aqua Jack (World)|2.4M/Taito Z/Taito Corporation Japan/1990|2537140
aquarium.zip|Aquarium (US)|1.1M/Miscellaneous/Excellent System/1996|1145883
arabfgt.zip|Arabian Fight (World)|8.8M/System 32/Sega/1991 imperfect graphics|9180295
arabian.zip|Arabian|60.6K/Miscellaneous/Sun Electronics/1983|62082
arabianm.zip|Arabian Magic (Ver 1.0O 1992/07/06)|4.4M/Taito F3 System/Taito Corporation Japan/1992|4575395
arbalest.zip|Arbalester|2.0M/Seta/Jordan I.S. / Seta/1989|2099871
arcadecl.zip|Arcade Classics (prototype)|986.6K/Miscellaneous/Atari Games/1992|1010329
arcadian.zip|Arcadia (NMK)|6.5M/NMK16/NMK/1994|6765435
archrivl.zip|Arch Rivals (rev 4.0 6/29/89)|479.1K/Miscellaneous/Bally Midway/1989|490572
arescue.zip|Air Rescue (World)|5.0M/System 32/Sega/1992|5235972
argus.zip|Argus|156.4K/Miscellaneous/NMK (Jaleco license)/1986|160182
argusg.zip|Argus (Gottlieb, prototype)|39.9K/Miscellaneous/Gottlieb/1984|40849
arkanoid.zip|Arkanoid (World, older)|676.0K/Arkanoid/Taito Corporation Japan/1986|692236
arkarea.zip|Ark Area|171.6K/Miscellaneous/UPL/1988|175681
arkatour.zip|Tournament Arkanoid (US, older)|67.3K/Arkanoid/Taito America Corporation (Romstar license)/1987|68940
arknoid2.zip|Arkanoid - Revenge of DOH (World)|244.0K/Miscellaneous/Taito Corporation Japan/1987|249876
arkretrn.zip|Arkanoid Returns (Ver 2.02O 1997/02/10)|2.2M/Taito F3 System/Taito Corporation/1997|2294505
arlingtn.zip|Arlington Horse Racing (v1.40-D)|438.9K/Miscellaneous/Strata / Incredible Technologies/1991|449471
armchmp2.zip|Arm Champs II (ver 2.7)|2.3M/Miscellaneous/Jaleco/1992|2438731
armedf.zip|Armed F (Japan)|449.0K/Miscellaneous/Nichibutsu/1988|459825
armorcar.zip|Armored Car (set 1)|27.5K/Galaxian/Stern Electronics/1981|28195
armwar.zip|Armored Warriors (Europe 941024)|22.7M/CPS2/Capcom/1994|23793567
armwrest.zip|Arm Wrestling|145.8K/Miscellaneous/Nintendo/1985|149347
as1.zip|AS-1 Controller|135.0K/System 32/Sega/1993|138247
ashura.zip|Ashura Blaster (World)|1.1M/Taito B System/Taito Corporation Japan/1990|1110242
aso.zip|ASO - Armored Scrum Object|198.5K/Miscellaneous/SNK/1985|203266
assault.zip|Assault (Rev B)|1.2M/System 2/Namco/1988|1248722
astdelux.zip|Asteroids Deluxe (rev 3)|21.4K/Miscellaneous/Atari/1980|21919
asterix.zip|Asterix (ver EAD)|4.0M/GX068/Konami/1992|4205033
asteroid.zip|Asteroids (rev 4)|52.7K/Miscellaneous/Atari/1979|53949
astorm.zip|Alien Storm (World, 2 Players) (FD1094 317-0154)|6.4M/System 18/Sega/1990|6755456
astyanax.zip|The Astyanax (EPROM version)|2.0M/Mega System 1/Jaleco/1989|2146231
asuka.zip|Asuka & Asuka (World)|707.2K/Taito Misc/Taito Corporation/1988|724196
asurabld.zip|Asura Blade - Sword of Dynasty (Japan)|8.5M/FG-3/Fuuki/1998|8929380
asurabus.zip|Asura Buster - Eternal Warriors (USA)|11.8M/FG-3/Fuuki/2001|12414179
atehate.zip|Athena no Hatena?|1.9M/Seta/Athena/1993|1967252
atetris.zip|Tetris (set 1)|342.5K/Miscellaneous/Atari Games/1988|350715
athena.zip|Athena|230.8K/Miscellaneous/SNK/1986|236368
atlantis.zip|Battle of Atlantis (set 1)|28.4K/Galaxian/Comsoft/1981|29110
atomicp.zip|Atomic Point (Korea)|109.8K/System 16B/Philko/1990|112483
aurail.zip|Aurail (set 3, US) (unprotected)|1.7M/System 16B/Sega / Westone/1990|1814567
avengers.zip|Avengers (US, rev. D)|484.3K/Miscellaneous/Capcom/1987|495910
avengrgs.zip|Avengers In Galactic Storm (US/Europe 1.0)|17.5M/DECO MLC/Data East Corporation/1995|18392783
avsp.zip|Alien vs. Predator (Europe 940520)|12.8M/CPS2/Capcom/1994|13378352
avspirit.zip|Avenging Spirit|1.3M/Mega System 1/Jaleco/1991|1343019
aztarac.zip|Aztarac|32.1K/Miscellaneous/Centuri/1983 Vector graphics|32834
azurian.zip|Azurian Attack|11.0K/Galaxian/Rait Electronics Ltd/1982|11252
b2b.zip|Bang Bang Busters (2010 NCI release)|1.6M/Neo Geo MVS/Visco/2000|1634494
backfire.zip|Backfire! (Japan, set 1)|10.4M/DECO IC16/Data East Corporation/1995|10905064
backfirt.zip|Back Fire (Tecmo, bootleg)|311.0K/Miscellaneous/Tecmo/1988|318498
baddudes.zip|Bad Dudes vs. Dragonninja (US, revision 1)|968.7K/DEC0/Data East USA/1988|991918
badlands.zip|Bad Lands|794.7K/Miscellaneous/Atari Games/1989|813756
bagman.zip|Bagman|143.2K/Miscellaneous/Valadon Automation/1982|146643
bakatono.zip|Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002)|2.4M/Neo Geo MVS/Monolith Corp./1991|2515519
bakutotu.zip|Bakutotsu Kijuutei|345.4K/System 1/Namco/1988|353663
balcube.zip|Bal Cube|3.4M/Miscellaneous/Metro/1996|3518589
ballbros.zip|Balloon Brothers|1.1M/Taito X/East Technology/1992|1142385
baluba.zip|Baluba-louk no Densetsu (Japan)|66.6K/Miscellaneous/Able Corp, Ltd./1986|68148
banbam.zip|BanBam|86.9K/Miscellaneous/Sun Electronics/1984|88938
bang.zip|Bang!|3.5M/Miscellaneous/Gaelco/1998|3646103
bangball.zip|Bang Bang Ball (v1.05)|8.5M/Miscellaneous/Banpresto / Kunihiko Tashiro+Goodhouse/1996|8902637
bangbead.zip|Bang Bead|19.6M/Neo Geo MVS/Visco/2000|20562166
bankp.zip|Bank Panic|66.5K/Miscellaneous/Sanritsu / Sega/1984|68081
baryon.zip|Baryon - Future Assault (set 1)|2.4M/Miscellaneous/SemiCom / Tirano/1997|2532933
batcir.zip|Battle Circuit (Europe 970319)|13.3M/CPS2/Capcom/1997|13986953
batman.zip|Batman|1.5M/Miscellaneous/Atari Games/1991|1619951
batrider.zip|Armed Police Batrider (Europe) (Fri Feb 13 1998)|9.3M/Toaplan GP9001 based/Raizing / Eighting/1998|9709097
