game_id|game_name|game_info|game_size
2020bb.zip|Super Baseball 2020|2.8M - Sports/2p - (c)1991 SNK|2934331
3countb.zip|3 Count Bount (also known as Fire Suplex)|7.3M - Sports/2p - (c)1993 SNK|7632895
alpham2.zip|Alpha Mission II (also known as ASO II: Last Guardian)|3.1M - Shoot 'em up/2p - (c)1991 SNK|3223236
androdun.zip|Andros Dunos|1.7M - Shoot 'em up/2p - (c)1992 SNK|1797558
aof.zip|Art of Fighting (also known as Ryuuko no Ken)|6.3M - Fighting/2p - (c)1992 SNK|6610182
aof2.zip|Art of Fighting 2 (also known as Ryuuko no Ken 2)|11.7M - Fighting/2p - (c)1994 SNK|12319772
aof3.zip|Art of Fighting 3: The Path of the Warrior (also known as Ryuuko no Ken 3)|16.3M - Fighting/2p - (c)1996 SNK|17087158
bjourney.zip|Blue's Journey (also known as Raguy)|2.8M - Platform/2p - (c)1991 SNK|2929965
blazstar.zip|Blazing Star|20.6M - Shoot 'em up/2p - (c)1998 SNK|21596277
breakers.zip|Breakers|13.2M - Fighting/2p - (c)1996 SNK|13849074
bstars.zip|Baseball Stars Professional|3.2M - Sports/2p - (c)1991 SNK|3331968
bstars2.zip|Baseball Stars 2|3.5M - Sports/2p - (c)1992 SNK|3700580
burningf.zip|Burning Fight|3.2M - Beat 'em up/2p - (c)1991 SNK|3386921
crsword.zip|Crossed Swords|2.6M - Action/2p - (c)1991 SNK|2724930
ctomaday.zip|Captain Tomaday|5.5M - Shoot 'em up/2p - (c)1999 SNK|5796303
cyberlip.zip|Cyber-Lip|3.2M - Run and gun/2p - (c)1990 SNK|3316707
doubledr.zip|Double Dragon|9.1M - Fighting/2p - (c)1995 SNK|9565125
eightman.zip|Eight Man|2.8M - Beat 'em up/2p - (c)1991 SNK|2935487
fatfursp.zip|Fatal Fury Special (also known as Garou Densetsu Special)|10.8M - Fighting/2p - (c)1993 SNK|11294568
fatfury1.zip|Fatal Fury: King of Fighters (also known as Garou Densetsu)|3.9M - Fighting/2p - (c)1991 SNK|4054288
fatfury2.zip|Fatal Fury 2 (also known as Garou Densetsu 2)|7.6M - Fighting/2p - (c)1992 SNK|7980986
fatfury3.zip|Fatal Fury 3: Road to the Final Victory (also known as Garou Densetsu 3)|18.7M - Fighting/2p - (c)1995 SNK|19557282
fbfrenzy.zip|Football Frenzy|3.0M - Sports/2p - (c)1992 SNK|3093325
fightfeva.zip|Fight Fever|208.5K - Fighting/2p - (c)1994 SNK|213550
flipshot.zip|Battle Flip Shot|2.2M - Action/2p - (c)1998 Visco|2311879
galaxyfg.zip|Galaxy Fight: Universal Warriors|10.2M - Fighting/2p - (c)1995 SNK|10673490
ganryu.zip|Ganryu|18.4M - Platform/2p - (c)1999 Visco|19337390
garou.zip|Garou: Mark of the Wolves|77.2M - Fighting/2p - (c)1999 SNK|80982420
gowcaizr.zip|Voltage Fighter Gowcaizer|12.0M - Fighting/2p - (c)1995 SNK|12583351
gpilots.zip|Ghost Pilots|3.5M - Shoot 'em up/2p - (c)1991 SNK|3708951
gururin.zip|Gururin|888.6K - Puzzle/2p - (c)1994 SNK|909975
ironclad.zip|Ironclad (also known as Choutetsu Brikin'ger)|11.6M - Shoot 'em up/2p - (c)1996 SNK|12119027
irrmaze.zip|The Irritating Maze|4.8M - Action /2p - (c)1997 SNK|5067452
joyjoy.zip|Puzzled (also known as Joy Joy Kid)|1.0M - Puzzle/2p - (c)1991 SNK|1058332
kabukikl.zip|Far East of Eden: Kabuki Klash (also known as Tengai Makyou Shinden)|11.5M - Fighting/2p - (c)1995 SNK|12077082
karnovr.zip|Karnov's Revenge (also known as Fighter's History Dynamite)|6.8M - Fighting/2p - (c)1994 Data East|7080605
kizuna.zip|Kizuna Encounter: Super Tag Battle|16.0M - Fighting/2p - (c)1996 SNK|16771328
kof2000.zip|The King of Fighters 2000|77.7M - Fighting/2p - (c)2000 SNK|81525161
kof2001.zip|The King of Fighters 2001|76.1M - Fighting/2p - (c)2001 Eolith|79827597
kof2002.zip|The King of Fighters 2002|78.7M - Fighting/2p - (c)2002 Sun Amusement|82483673
kof2003.zip|The King of Fighters 2003|80.2M - Fighting/2p - (c)2003 SNK Playmore|84143231
kof94.zip|The King of Fighters '94|12.2M - Fighting/2p - (c)1994 SNK|12771605
kof95.zip|The King of Fighters '95|15.4M - Fighting/2p - (c)1995 SNK|16156579
kof96.zip|The King of Fighters '96|22.5M - Fighting/2p - (c)1996 SNK|23568360
kof97.zip|The King of Fighters '97|27.4M - Fighting/2p - (c)1997 SNK|28745740
kof98.zip|The King of Fighters '98: The Slugfest|38.6M - Fighting/2p - (c)1998 SNK|40445835
kof99.zip|The King of Fighters '99: Millennium Battle|75.2M - Fighting/2p - (c)1999 SNK|78852470
kotm.zip|King of the Monsters|3.8M - Fighting/2p - (c)1991 SNK|4025558
kotm2.zip|King of the Monsters 2|5.2M - Beat 'em up/2p - (c)1992 SNK|5502611
lastblad.zip|The Last Blade|25.1M - Fighting/2p - (c)1997 SNK|26306406
lastbld2.zip|The Last Blade 2|30.9M - Fighting/2p - (c)1998 SNK|32382384
lbowling.zip|League Bowling|1.5M - Sports/4p - (c)1990 SNK|1618125
lresort.zip|Last Resort|2.8M - Shoot 'em up/2p - (c)1992 SNK|2916299
magdrop2.zip|Magical Drop II|3.5M - Puzzle/2p - (c)1996 SNK|3679776
magdrop3.zip|Magical Drop III|8.2M - Puzzle/2p - (c)1997 SNK|8548250
maglord.zip|Magician Lord|2.7M - Platform/2p - (c)1990 SNK|2861027
matrim.zip|Matrimelee (also known as Power Instinct Matrimelee)|78.5M - Fighting/2p - (c)2003 Sun Amusement|82318885
mslug.zip|Metal Slug|12.6M - Run and gun/2p - (c)1996 SNK|13165412
mslug2.zip|Metal Slug 2|16.7M - Run and gun/2p - (c)1998 SNK|17473893
mslug3.zip|Metal Slug 3|76.7M - Run and gun/2p - (c)2000 SNK|80456848
mslug4.zip|Metal Slug 4|60.4M - Run and gun/2p - (c)2002 Playmore|63381492
mslug5.zip|Metal Slug 5|77.4M - Run and gun/2p - (c)2003 SNK Playmore|81157379
mslugx.zip|Metal Slug X|27.2M - Run and gun/2p - (c)1999 SNK|28493658
mutnat.zip|Mutation Nation|3.6M - Beat 'em up/2p - (c)1992 SNK|3772498
nam1975.zip|NAM-1975|3.0M - Gallery shooter/2p - (c)1990 SNK|3109468
ncombat.zip|Ninja Combat|2.9M - Beat 'em up/2p - (c)1991 SNK|3051517
ncommand.zip|Ninja Commando|3.2M - Run and gun/2p - (c)1992 SNK|3353079
neobombe.zip|Neo Bomberman|6.0M - Puzzle/2p - (c)1997 SNK|6249726
neodrift.zip|Neo Drift Out: New Technology|8.2M - Racing/2p - (c)1996 SNK|8575432
neomrdo.zip|Neo Mr. Do!|1.5M - Action/2p - (c)1997 SNK|1605011
ninjamas.zip|Ninja Master's|17.2M - Fighting/2p - (c)1996 SNK|18012647
nitd.zip|Nightmare in the Dark|17.1M - Platform/2p - (c)2000 Eleven|17880901
overtop.zip|Over Top|11.7M - Racing/2p - (c)1996 SNK|12254413
panicbom.zip|Bomberman: Panic Bomber|2.5M - Puzzle/2p - (c)1994 SNK|2640560
pbobble.zip|Bust-A-Move (also known as Puzzle Bobble)|1,005.9K - Puzzle/2p - (c)1994 SNK|1030061
preisle2.zip|Prehistoric Isle 2|52.1M - Shoot 'em up/2p - (c)1999 SNK|54664838
pulstar.zip|Pulstar|17.9M - Shoot 'em up/2p - (c)1995 SNK|18755756
puzzldpr.zip|puzzldpr|749.0K|767000
puzzledp.zip|Puzzle de Pon!|750.7K - Puzzle/2p - (c)1995 SNK|768724
ragnagrd.zip|Ragnagard (also known as Shin-Oh-Ken)|21.8M - Fighting/2p - (c)1996 SNK|22854637
rbff1.zip|Real Bout Fatal Fury (also known as Real Bout Garou Densetsu)|23.0M - Fighting/2p - (c)1995 SNK|24118759
rbff2.zip|rbff2|28.3M|29723145
rbffspec.zip|Real Bout Fatal Fury Special (also known as Real Bout Garou Densetsu Special)|23.7M - Fighting/2p - (c)1997 SNK|24869007
roboarmy.zip|Robo Army|2.9M - Beat 'em up/2p - (c)1991 SNK|3087404
rotd.zip|Rage of the Dragons|73.0M - Fighting/2p - (c)2002 Playmore|76583467
s1945p.zip|s1945p|73.8M|77360789
samsh5sp.zip|Samurai Shodown V Special (also known as Samurai Spirits Zero Special)|79.2M - Fighting/2p - (c)2004 SNK Playmore|83033266
samsho.zip|Samurai Shodown (also known as Samurai Spirits)|8.0M - Fighting/2p - (c)1993 SNK|8347740
samsho2.zip|Samurai Shodown II (also known as Shin Samurai Spirits: Haohmaru Jigokuhen)|13.8M - Fighting/2p - (c)1994 SNK|14482574
samsho3.zip|Samurai Shodown III (also known as Samurai Spirits: Zankuro Musouken)|16.7M - Fighting/2p - (c)1995 SNK|17548262
samsho4.zip|Samurai Shodown IV: Amakusa's Revenge (also known as Samurai Spirits: Amakusa Kourin)|21.6M - Fighting/2p - (c)1996 SNK|22671957
samsho5.zip|Samurai Shodown V (also known as Samurai Spirits Zero)|79.3M - Fighting/2p - (c)2003 SNK Playmore|83164356
savagere.zip|Savage Reign|12.6M - Fighting/2p - (c)1995 SNK|13252181
