game_name|game_ext|game_size
'96 Zenkoku Koukou Soccer Senshuken (Japan)|.zip|840120
3 Ninjas Kick Back (USA)|.zip|1118042
3-jigen Kakutou Ballz (Japan) (Sample)|.zip|693828
3-jigen Kakutou Ballz (Japan)|.zip|693737
3x3 Eyes - Juuma Houkan (Japan)|.zip|1182938
3x3 Eyes - Seima Kourinden (Japan)|.zip|526348
4-nin Shougi (Japan)|.zip|272584
7th Saga, The (USA)|.zip|808296
16 BIT XMAS 2011 - Christmas Craze (World) (Aftermarket) (Unl) (Alt)|.zip|232068
16 BIT XMAS 2011 - Christmas Craze (World) (Aftermarket) (Unl)|.zip|232004
16 BIT XMAS 2012 - Snowball Fight (World) (Aftermarket) (Unl)|.zip|20737
46 Okunen Monogatari - Harukanaru Eden e (Japan)|.zip|1207039
90 Minutes - European Prime Goal (Europe) (Beta)|.zip|1055298
90 Minutes - European Prime Goal (Europe)|.zip|1078896
101 Dalmatas (USA) (Pirate)|.zip|475413
240p Test Suite (World) (v1.03) (NTSC) (Program) (Aftermarket) (Unl)|.zip|110900
240p Test Suite (World) (v1.03) (PAL) (Program) (Aftermarket) (Unl)|.zip|110898
240p Test Suite (World) (v1.061) (NTSC) (Program) (Aftermarket) (Unl)|.zip|113992
240p Test Suite (World) (v1.061) (PAL) (Program) (Aftermarket) (Unl)|.zip|113990
2020 Super Baseball (Japan)|.zip|646211
2048 (World) (Aftermarket) (Unl)|.zip|72994
A.S.P. - Air Strike Patrol (USA)|.zip|577798
ABC Monday Night Football (Japan)|.zip|534722
ABC Monday Night Football (USA)|.zip|533568
ACME Animation Factory (Europe)|.zip|724030
ACME Animation Factory (USA)|.zip|724024
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)|.zip|623281
Aaahh!!! Real Monsters (Europe)|.zip|1297129
Aaahh!!! Real Monsters (USA)|.zip|1297120
Accele Brid (Japan)|.zip|824964
Ace o Nerae! (Japan)|.zip|678215
Acrobat Mission (Japan) (En)|.zip|473561
ActRaiser (Europe)|.zip|686084
ActRaiser (France)|.zip|686681
ActRaiser (Germany)|.zip|687056
ActRaiser (Japan) (Virtual Console)|.zip|677989
ActRaiser (USA) (Arcade)|.zip|541864
ActRaiser (USA)|.zip|685275
ActRaiser 2 (USA)|.zip|1108505
ActRaiser 2 - Chinmoku e no Seisen (Japan)|.zip|1113514
Action Pachio (Japan)|.zip|647369
Actraiser (Japan)|.zip|678014
Actraiser 2 (Europe) (En,Fr,De)|.zip|1125752
Addams Family, The (Europe) (En,Fr,De)|.zip|775844
Addams Family, The (Japan)|.zip|772367
Addams Family, The (USA) (Arcade)|.zip|762252
Addams Family, The (USA)|.zip|776097
Addams Family, The - Pugsley's Scavenger Hunt (Europe)|.zip|824299
Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta)|.zip|801686
Addams Family, The - Pugsley's Scavenger Hunt (USA)|.zip|824293
Addams Family Values (Europe) (En,Fr,De)|.zip|1392271
Addams Family Values (USA) (Beta)|.zip|1331354
Addams Family Values (USA) (En,Fr,De)|.zip|1392265
Advanced Dungeons &amp; Dragons - Eye of the Beholder (USA)|.zip|589273
Adventures of Batman &amp; Robin, The (Europe)|.zip|1425966
Adventures of Batman &amp; Robin, The (USA)|.zip|1425979
Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)|.zip|807995
Adventures of Dr. Franken, The (USA)|.zip|814309
Adventures of Kid Kleets, The (USA) (En,Fr,Es)|.zip|831397
Adventures of Mighty Max, The (Europe)|.zip|704158
Adventures of Rocky and Bullwinkle and Friends, The (USA)|.zip|627746
Adventures of Yogi Bear (USA)|.zip|547456
Adventures of the Rocketeer, The (Japan)|.zip|614976
Aero Fighters (USA)|.zip|576501
Aerobiz (USA)|.zip|466506
Aerobiz Supersonic (USA)|.zip|604774
Aero the Acro-Bat (Europe)|.zip|722250
Aero the Acro-Bat (USA)|.zip|722316
Aero the Acro-Bat 2 (Europe)|.zip|1362913
Aero the Acro-Bat 2 (USA) (Beta) (1994-08-08)|.zip|1362513
Aero the Acro-Bat 2 (USA)|.zip|1362710
Aguri Suzuki F-1 Super Driving (Europe)|.zip|625751
Air Cavalry (Europe)|.zip|468769
Air Cavalry (USA)|.zip|468816
Air Management - Oozora ni Kakeru (Japan) (Rev 1)|.zip|464015
Air Management - Oozora ni Kakeru (Japan)|.zip|463702
Air Management II - Koukuu Ou o Mezase (Japan)|.zip|594641
Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1)|.zip|1637097
Akagawa Jirou - Majotachi no Nemuri (Japan)|.zip|1611087
Akazukin Chacha (Japan)|.zip|654133
Akumajou Dracula (Japan) (Beta) (1991-06-14)|.zip|510467
Akumajou Dracula (Japan) (Castlevania Anniversary Collection)|.zip|846956
Akumajou Dracula (Japan) (Virtual Console)|.zip|847001
